tract,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037207502,District 1,Los Angeles - Downtown,SPA 4 - Metro,2497,4463490.012,9079.039955
06037207711,District 1,Los Angeles - Downtown,SPA 4 - Metro,2498,7428549.182,14671.25667
06037207712,District 1,Los Angeles - Downtown,SPA 4 - Metro,2499,4383784.372,9437.955472
06037207901,District 1,Los Angeles - Downtown,SPA 4 - Metro,2500,2128884.62,6828.323144
06037207902,District 1,Los Angeles - Downtown,SPA 4 - Metro,2501,7634284.114,11075.60027
06037208001,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,2502,6277025.371,11140.08552
06037208002,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,2503,4063649.021,8994.419852
06037208301,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,2504,1059097.596,5122.536346
06037208302,District 1,Los Angeles - Historic Filipinotown,SPA 4 - Metro,2505,4716446.304,9773.07262
06037208401,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,2506,2469648.369,6288.091978
06037208402,District 1,Los Angeles - Historic Filipinotown,SPA 4 - Metro,2507,3704274.592,8618.234565
06037208501,District 1,Los Angeles - Historic Filipinotown,SPA 4 - Metro,2508,2614754.837,6561.528141
06037208502,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,2509,2796254.319,6766.576918
06037208610,District 1,Los Angeles - Historic Filipinotown,SPA 4 - Metro,2510,3802019.996,8257.266395
06037208620,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,2511,3490954.759,8191.681167
06037208710,District 1,Los Angeles - Westlake,SPA 4 - Metro,2512,1824918.229,5646.281765
06037208720,District 1,Los Angeles - Westlake,SPA 4 - Metro,2513,1753988.314,6905.126175
06037208801,District 1,Los Angeles - Westlake,SPA 4 - Metro,2514,2902686.711,7792.473191
06037208802,District 1,Los Angeles - Westlake,SPA 4 - Metro,2515,2279363.023,7692.527836
06037208902,District 1,Los Angeles - Westlake,SPA 4 - Metro,2516,1980055.598,5658.493038
06037208903,District 1,Los Angeles - Westlake,SPA 4 - Metro,2517,1714545.078,7038.479644
06037208904,District 1,Los Angeles - Westlake,SPA 4 - Metro,2518,1224138.453,4504.137119
06037209103,District 1,Los Angeles - Westlake,SPA 4 - Metro,2519,1337574.158,4685.369347
06037209104,District 1,Los Angeles - Westlake,SPA 4 - Metro,2607,735766.4385,3760.813998
06037209105,District 1,Los Angeles - Westlake,SPA 4 - Metro,2608,892285.9023,3984.962068
06037209106,District 1,Los Angeles - Westlake,SPA 4 - Metro,2609,2381529.056,6257.329915
06037209201,District 1,Los Angeles - Westlake,SPA 4 - Metro,2610,1818530.864,5562.088306
06037209202,District 1,Los Angeles - Westlake,SPA 4 - Metro,2611,2667667.431,6511.253069
06037209300,District 1,Los Angeles - Westlake,SPA 4 - Metro,2612,3296967.586,7931.18045
06037209401,District 1,Los Angeles - Westlake,SPA 4 - Metro,2613,2323375.792,6370.637612
06037209402,District 1,Los Angeles - Westlake,SPA 4 - Metro,2614,1466622.382,4849.886726
06037209403,District 1,Los Angeles - Westlake,SPA 4 - Metro,2615,1487585.052,4882.443192
06037209510,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,2616,1963614.684,5807.605825
06037209520,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,2617,2499111.244,6466.563304
06037209810,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,2618,1660660.461,5390.00072
06037209820,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,2619,1936268.193,5687.974114
06037210010,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,2620,4448567.779,8896.547478
06037211000,District 2,Los Angeles - Hancock Park,SPA 4 - Metro,2621,28608477.82,25105.85213
06037211121,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2622,2315992.818,7544.02039
06037211122,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2623,3930365.132,8273.446548
06037211123,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2624,1850526.14,6797.212181
06037211124,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2625,4228641.481,8167.548078
06037211201,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2626,1501881.869,4915.684313
06037211202,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2627,1927075.493,5559.421455
06037211310,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2628,1549860.715,4995.205104
06037211320,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2629,2004122.247,5671.305411
06037211410,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2630,2915308.277,7500.754606
06037211420,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2631,4101420.132,8393.562243
06037211500,District 2,Los Angeles - Hancock Park,SPA 4 - Metro,2632,9760679.48,13076.57339
06037211701,District 2,Los Angeles - Hancock Park,SPA 4 - Metro,2633,7007753.876,10536.05785
06037211703,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2634,1986718.893,5648.97182
06037211704,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2635,1990668.861,5698.519763
06037211802,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2636,3502571.777,7938.570623
06037211803,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2637,1501763.785,4915.856574
06037211804,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2638,2001589.043,5672.182614
06037211910,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2639,1484978.667,4890.398949
06037211921,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2640,997424.3301,4152.132568
06037211922,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2641,999743.7441,4155.338167
06037212101,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2642,1999890.327,5670.097463
06037212102,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2643,1492508.618,4902.631746
06037212202,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2644,2225899.926,6481.887987
06037212203,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2645,1141073.354,4500.610378
06037212204,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2646,2300387.561,6142.686441
06037212303,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2647,1675272.862,5219.253902
06037212304,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2648,2218468.734,6304.991861
06037212305,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2649,1168773.146,4355.764526
06037212306,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2757,1742806.878,5316.960787
06037212410,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2758,1687088.938,5550.262489
06037212420,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2759,1538332.868,4954.122473
06037212501,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2760,856375.3359,3804.123564
06037212502,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2761,3069436.973,8256.676374
06037212610,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2762,3837077.169,8373.506661
06037212620,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2763,3112104.208,7947.75922
06037212701,District 2,Los Angeles - Country Club Park,SPA 4 - Metro,2764,5137695.229,10446.12242
06037212702,District 2,Los Angeles - Country Club Park,SPA 4 - Metro,2765,9432433.528,13436.74067
06037212800,District 2,Los Angeles - Country Club Park,SPA 4 - Metro,2766,8454048.389,11698.38976
06037212900,District 2,Los Angeles - Country Club Park,SPA 4 - Metro,2767,3940299.25,8740.439585
06037213100,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2768,5781514.454,10486.30028
