geoid,FIPS,geoid20,year,denom_total_pop,lowaccess_count,lowaccess_li_count,lowaccess_kids_count,lowaccess_seniors_count,pct_lowaccess,pct_lowaccess_li,pct_lowaccess_kids
1400000U,06037109300,6037109300,2019,3085,139,22,25,21,0.045056726,0.00713128,0.008103728
1400000U,06037109400,6037109400,2019,3718,0,0,0,0,0,0,0
1400000U,06037109500,6037109500,2019,4303,0,0,0,0,0,0,0
1400000U,06037109601,6037109601,2019,5020,0,0,0,0,0,0,0
1400000U,06037109603,6037109603,2019,4252,0,0,0,0,0,0,0
1400000U,06037109604,6037109604,2019,2975,0,0,0,0,0,0,0
1400000U,06037109700,6037109700,2019,4493,0,0,0,0,0,0,0
1400000U,06037109800,6037109800,2019,4565,0,0,0,0,0,0,0
1400000U,06037111100,6037111100,2019,2982,0,0,0,0,0,0,0
1400000U,06037111201,6037111201,2019,3410,0,0,0,0,0,0,0
1400000U,06037111202,6037111202,2019,5213,0,0,0,0,0,0,0
1400000U,06037111204,6037111204,2019,5859,0,0,0,0,0,0,0
1400000U,06037111205,6037111205,2019,3375,0,0,0,0,0,0,0
1400000U,06037111206,6037111206,2019,4490,0,0,0,0,0,0,0
1400000U,06037111302,6037111302,2019,4786,0,0,0,0,0,0,0
1400000U,06037111303,6037111303,2019,5538,0,0,0,0,0,0,0
1400000U,06037111304,6037111304,2019,1549,0,0,0,0,0,0,0
1400000U,06037111401,6037111401,2019,3508,0,0,0,0,0,0,0
1400000U,06037111402,6037111402,2019,4052,0,0,0,0,0,0,0
1400000U,06037113101,6037113101,2019,3558,0,0,0,0,0,0,0
1400000U,06037113102,6037113102,2019,2826,0,0,0,0,0,0,0
1400000U,06037113211,6037113211,2019,3787,1684,252,262,335,0.444679166,0.066543438,0.069184051
1400000U,06037113212,6037113212,2019,3065,0,0,0,0,0,0,0
1400000U,06037113213,6037113213,2019,4316,94,11,19,10,0.021779425,0.002548656,0.004402224
1400000U,06037113231,6037113231,2019,2124,1187,162,253,194,0.558851224,0.076271186,0.119114878
1400000U,06037113232,6037113232,2019,3894,507,74,95,96,0.130200308,0.019003595,0.024396507
1400000U,06037113234,6037113234,2019,4667,50,24,1,28,0.01071352,0.00514249,0.00021427
1400000U,06037113235,6037113235,2019,1602,1602,383,292,189,1,0.239076155,0.18227216
1400000U,06037113237,6037113237,2019,3661,2848,664,544,524,0.777929527,0.18137121,0.148593281
1400000U,06037113238,6037113238,2019,4129,301,127,88,22,0.072899007,0.030758053,0.021312667
1400000U,06037113239,6037113239,2019,2526,184,78,54,14,0.072842439,0.03087886,0.021377672
1400000U,06037113301,6037113301,2019,2186,0,0,0,0,0,0,0
1400000U,06037113303,6037113303,2019,4027,313,84,98,89,0.077725354,0.0208592,0.024335734
1400000U,06037113322,6037113322,2019,3947,0,0,0,0,0,0,0
1400000U,06037113323,6037113323,2019,3779,0,0,0,0,0,0,0
1400000U,06037113324,6037113324,2019,1694,0,0,0,0,0,0,0
1400000U,06037113423,6037113423,2019,1607,0,0,0,0,0,0,0
1400000U,06037113424,6037113424,2019,3936,0,0,0,0,0,0,0
1400000U,06037113425,6037113425,2019,940,45,10,13,4,0.04787234,0.010638298,0.013829787
1400000U,06037113426,6037113426,2019,5169,247,55,69,19,0.047784871,0.010640356,0.01334881
1400000U,06037113427,6037113427,2019,1027,0,0,0,0,0,0,0
1400000U,06037113428,6037113428,2019,5030,0,0,0,0,0,0,0
1400000U,06037115101,6037115101,2019,5046,132,10,25,16,0.026159334,0.001981768,0.004954419
1400000U,06037115103,6037115103,2019,2770,96,78,1,0,0.03465704,0.028158845,0.000361011
1400000U,06037115104,6037115104,2019,4444,2157,977,395,101,0.485373537,0.219846985,0.088883888
1400000U,06037115202,6037115202,2019,4828,0,0,0,0,0,0,0
1400000U,06037115203,6037115203,2019,2822,0,0,0,0,0,0,0
1400000U,06037115204,6037115204,2019,3615,0,0,0,0,0,0,0
1400000U,06037115301,6037115301,2019,4156,0,0,0,0,0,0,0
1400000U,06037115302,6037115302,2019,4351,0,0,0,0,0,0,0
1400000U,06037115401,6037115401,2019,5776,0,0,0,0,0,0,0
1400000U,06037115403,6037115403,2019,3188,0,0,0,0,0,0,0
1400000U,06037115404,6037115404,2019,2913,0,0,0,0,0,0,0
1400000U,06037117101,6037117101,2019,4796,0,0,0,0,0,0,0
1400000U,06037117102,6037117102,2019,2631,0,0,0,0,0,0,0
1400000U,06037117201,6037117201,2019,4352,0,0,0,0,0,0,0
1400000U,06037117202,6037117202,2019,2469,0,0,0,0,0,0,0
1400000U,06037117301,6037117301,2019,3851,0,0,0,0,0,0,0
1400000U,06037117302,6037117302,2019,4914,0,0,0,0,0,0,0
1400000U,06037117303,6037117303,2019,3512,0,0,0,0,0,0,0
1400000U,06037117404,6037117404,2019,4279,0,0,0,0,0,0,0
1400000U,06037117405,6037117405,2019,3442,0,0,0,0,0,0,0
1400000U,06037117407,6037117407,2019,3636,0,0,0,0,0,0,0
1400000U,06037117408,6037117408,2019,2830,0,0,0,0,0,0,0
