X,Y,Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
-118.29808,33.873779,879345,Sam's Club 6617,1399 W Artesia Blvd,,Gardena,CA,90248,    ,LOS ANGELES,Super Store,33.873779,-118.29808,,,69115
-118.33174,33.805347,879347,Sam's Club 6628,2601 Skypark Dr,,Torrance,CA,90505,    ,LOS ANGELES,Super Store,33.805347,-118.33174,,,69139
-117.77435,34.116295,879442,99 Cents Only Stores 246,1504 Foothill Blvd,,La Verne,CA,91750,3434,LOS ANGELES,Other,34.116295,-117.77435,,,69424
-118.39815,33.955799,880445,CVS Pharmacy 9985,8900 Sepulveda Westway,,Los Angeles,CA,90045,3619,LOS ANGELES,Other,33.955799,-118.39815,,,69485
-118.4227,34.019939,880446,CVS Pharmacy 9563,3458 S Sepulveda Blvd,,Los Angeles,CA,90034,6010,LOS ANGELES,Other,34.019939,-118.4227,,,69494
-118.3766,34.043327,880447,CVS Pharmacy 9212,1843 S la Cienega Blvd,,Los Angeles,CA,90035,4603,LOS ANGELES,Other,34.043327,-118.3766,,,69500
-118.52646,34.264488,880450,CVS Pharmacy 9978,18020 Chatsworth St,,Granada Hills,CA,91344,5607,LOS ANGELES,Other,34.264488,-118.52646,,,69514
-118.36601,33.769894,880452,CVS Pharmacy 9607,901 Silver Spur Rd,,Rolling Hills Estates,CA,90274,3895,LOS ANGELES,Other,33.769894,-118.36601,,,69520
-118.04073,34.075653,1287152,El Monte Liquor & Deli,10616 Valley Mall,,El Monte,CA,91731,2417,LOS ANGELES,Convenience Store,34.075653,-118.04073,,,69571
-117.87276,34.127811,1287247,Sprouts Farmers Market 410,655 S Grand Ave,,Glendora,CA,91740,4107,LOS ANGELES,Supermarket,34.127811,-117.87276,,,69637
-117.83324,34.115124,879115,Sam's Club 6240,1301 S Lone Hill Ave,,Glendora,CA,91740,    ,LOS ANGELES,Super Store,34.115124,-117.83324,,,69644
-118.08873,33.831245,879120,Sam's Club 6613,7480 Carson Blvd,,Long Beach,CA,90808,    ,LOS ANGELES,Super Store,33.831245,-118.08873,,,69653
-118.02874,34.093613,879131,Sam's Club 6614,4901 Santa Anita Ave,,El Monte,CA,91731,    ,LOS ANGELES,Super Store,34.093613,-118.02874,,,69660
-118.16198,33.949848,879134,Sam's Club 6626,5871 Firestone Blvd,,South Gate,CA,90280,    ,LOS ANGELES,Super Store,33.949848,-118.16198,,,69672
-118.14534,34.608204,879136,Sam's Club 4767,39940 10th St W,,Palmdale,CA,93551,    ,LOS ANGELES,Super Store,34.608204,-118.14534,,,69683
-118.50324,34.416351,879138,Sam's Club 4824,26468 Carl Boyer Dr,,Santa Clarita,CA,91350,    ,LOS ANGELES,Super Store,34.416351,-118.50324,,,69695
-118.23913,34.060833,1287341,Peking Poultry,717 N Broadway,,Los Angeles,CA,90012,6115,LOS ANGELES,Other,34.060833,-118.23913,,,69697
-118.1123,34.062351,1287344,Wing On Market,726 E Garvey Ave,,Monterey Park,CA,91755,3050,LOS ANGELES,Other,34.062351,-118.1123,,,69703
-118.24622,33.927658,1288810,Tampico Mini Mart,11700 Compton Ave,,Los Angeles,CA,90059,1827,LOS ANGELES,Convenience Store,33.927658,-118.24622,,,70039
-117.92111,34.071053,1289011,West Covina Farmers Market,195 S Glendora Ave.,,West Covina,CA,91790,    ,LOS ANGELES,Farmers and Markets,34.071053,-117.92111,GusNIP,California Department of Food and Agriculture,70080
-118.0207,34.063663,824026,Dollar Tree 2017,11910 Valley Blvd,,El Monte,CA,91732,3114,LOS ANGELES,Other,34.063663,-118.0207,,,70175
-118.13052,34.036266,824032,Dollar Tree 3255,2305 S Garfield Ave,,Monterey Park,CA,91754,7219,LOS ANGELES,Other,34.036266,-118.13052,,,70182
-118.04507,34.573063,857902,Target Store T-2350,38019 47th St E,,Palmdale,CA,93552,3103,LOS ANGELES,Super Store,34.573063,-118.04507,,,70366
-118.09733,33.921394,857936,99 Cents Only Stores 272,11055 Firestone Blvd,Suite 114,Norwalk,CA,90650,    ,LOS ANGELES,Other,33.921394,-118.09733,,,70387
-117.71999,34.063229,854557,El Super 9,1575 E Holt Ave,,Pomona,CA,91767,5823,LOS ANGELES,Supermarket,34.063229,-117.71999,,,70433
-118.32292,34.259941,901165,7-Eleven Store 25484,8724 Foothill Blvd,,Sunland,CA,91040,1923,LOS ANGELES,Convenience Store,34.259941,-118.32292,,,70829
-118.11378,34.675053,857224,Vallarta Supermarket 27,815 E Avenue K,,Lancaster,CA,93535,    ,LOS ANGELES,Super Store,34.675053,-118.11378,,,70910
-117.80538,34.106651,857608,Dollar Tree 2883,156 E Bonita Ave,Ste C3,San Dimas,CA,91773,3080,LOS ANGELES,Other,34.106651,-117.80538,,,70961
-118.03477,33.961143,857625,Dollar Tree 2956,8514 Painter Ave,# J,Whittier,CA,90602,3335,LOS ANGELES,Other,33.961143,-118.03477,,,70984
-118.13486,34.14592,901884,Target Store T-0883,777 E Colorado Blvd,,Pasadena,CA,91101,2104,LOS ANGELES,Super Store,34.14592,-118.13486,,,71102
-118.35635,33.868645,902141,Target Store T-1980,1601 Kingsdale Ave,,Redondo Beach,CA,90278,3928,LOS ANGELES,Super Store,33.868645,-118.35635,,,71305
-117.73677,34.090462,920174,Towne Arco 82614,2510 N Towne Ave,,Pomona,CA,91767,2251,LOS ANGELES,Convenience Store,34.090462,-117.73677,,,71322
-118.48375,34.156322,922405,Walgreens 11735,16100 Ventura Blvd,,Encino,CA,91436,2502,LOS ANGELES,Other,34.156322,-118.48375,,,71453
-118.21516,34.139263,920291,Walgreens 06854,2222 Colorado Blvd,,Los Angeles,CA,90041,1143,LOS ANGELES,Other,34.139263,-118.21516,,,71670
-118.47189,34.415668,920296,Walgreens 06930,19266 Soledad Canyon Rd,,Santa Clarita,CA,91351,3366,LOS ANGELES,Other,34.415668,-118.47189,,,71691
-118.51175,34.45866,920299,Walgreens 07556,28460 Haskell Canyon Rd,,Saugus,CA,91390,5203,LOS ANGELES,Other,34.45866,-118.51175,,,71704
-118.11461,33.872852,921134,Bellflower Meat Market,10308 Artesia Blvd,,Bellflower,CA,90706,6777,LOS ANGELES,Grocery Store,33.872852,-118.11461,,,71913
-117.87273,34.099194,747617,7-Eleven 2175-33500 A,1075 N Grand Ave,,Covina,CA,91724,2048,LOS ANGELES,Convenience Store,34.099194,-117.87273,,,72024
-118.26366,34.018059,931058,Reyes Mini Market,3101 S San Pedro St,,Los Angeles,CA,90011,2010,LOS ANGELES,Convenience Store,34.018059,-118.26366,,,72078
-118.39547,34.025532,930316,India Sweets & Spices Chai Cafe,9409 Venice Blvd,,Culver City,CA,90232,2623,LOS ANGELES,Other,34.025532,-118.39547,,,72158
-118.23461,33.976166,746568,El Super 7,7000 Alameda St,,Huntington Park,CA,90255,3620,LOS ANGELES,Supermarket,33.976166,-118.23461,,,72330
-118.28106,34.042469,746689,B&A MARKET,1209 Venice Blvd,,Los Angeles,CA,90006,5517,LOS ANGELES,Grocery Store,34.042469,-118.28106,,,72532
-118.47152,34.040775,886799,CVS Pharmacy 3903,3202 Wilshire Blvd,,Santa Monica,CA,90403,2333,LOS ANGELES,Other,34.040775,-118.47152,,,72688
-118.53452,34.168221,886800,CVS Pharmacy 9670,18441 Ventura Blvd,,Tarzana,CA,91356,4285,LOS ANGELES,Other,34.168221,-118.53452,,,72694
-118.30025,33.857082,752569,Walmart 5072,19503 NORMANDIE AVE,,TORRANCE,CA,90501,    ,LOS ANGELES,Super Store,33.857082,-118.30025,,,73050
-117.87254,34.13615,881747,CVS Pharmacy 9851,130 N Grand Ave,,Glendora,CA,91741,2434,LOS ANGELES,Other,34.13615,-117.87254,,,73131
-118.34253,34.101566,881753,CVS Pharmacy 9144,7021 HOLLYWOOD BLVD,,LOS ANGELES,CA,90028,    ,LOS ANGELES,Other,34.101566,-118.34253,,,73144
-118.11749,34.011944,750743,Walgreens 02155,1501 W Whittier Blvd,,Montebello,CA,90640,4001,LOS ANGELES,Other,34.011944,-118.11749,,,73315
-118.38945,34.186646,750744,ARAGATS MARKET,11748 Victory Blvd,,North Hollywood,CA,91606,3422,LOS ANGELES,Grocery Store,34.186646,-118.38945,,,73316
-118.56523,34.274879,881789,CVS Pharmacy 9533,19783 Rinaldi St,,Porter Ranch,CA,91326,4143,LOS ANGELES,Other,34.274879,-118.56523,,,73577
-117.89024,34.064812,881815,CVS Pharmacy 9146,575 S Citrus St,,West Covina,CA,91791,2120,LOS ANGELES,Other,34.064812,-117.89024,,,73620
-118.47895,33.997292,881844,CVS Pharmacy 6582,225 Main St,,Venice,CA,90291,2521,LOS ANGELES,Other,33.997292,-118.47895,,,73691
-118.37791,33.816185,881846,CVS Pharmacy 9544,1880 S Pacific Coast Hwy,,Redondo Beach,CA,90277,6117,LOS ANGELES,Other,33.816185,-118.37791,,,73703
-118.46516,34.392723,881720,Target Store T-2030,19105 Golden Valley Rd,,Canyon Country,CA,91387,1428,LOS ANGELES,Super Store,34.392723,-118.46516,,,73989
-118.18479,33.850353,1289245,Vinsie,5170 Atlantic Ave,,Long Beach,CA,90805,6510,LOS ANGELES,Convenience Store,33.850353,-118.18479,,,74033
-118.31808,34.187675,858151,CVS Pharmacy 9601,1015 N San Fernando Blvd,,Burbank,CA,91504,4329,LOS ANGELES,Other,34.187675,-118.31808,,,74289
-118.3965,34.223194,858152,CVS Pharmacy 9643,8425 Laurel Canyon Blvd,,Sun Valley,CA,91352,3817,LOS ANGELES,Other,34.223194,-118.3965,,,74290
-118.3002,34.174175,858153,CVS Pharmacy 9658,101 E Alameda Ave,,Burbank,CA,91502,2004,LOS ANGELES,Other,34.174175,-118.3002,,,74291
-118.32465,34.167355,858154,CVS Pharmacy 9692,1820 W Verdugo Ave,,Burbank,CA,91506,2150,LOS ANGELES,Other,34.167355,-118.32465,,,74292
-118.33881,34.184574,858155,CVS Pharmacy 9734,2500 W Victory Blvd,,Burbank,CA,91505,1614,LOS ANGELES,Other,34.184574,-118.33881,,,74293
-118.34314,34.159878,858156,CVS Pharmacy 9795,511 N Hollywood Way,,Burbank,CA,91505,3406,LOS ANGELES,Other,34.159878,-118.34314,,,74294
-118.36221,33.887451,858380,99 Cents Only Stores 310,2701 Manhattan Beach Blvd,,Redondo Beach,CA,90278,1602,LOS ANGELES,Other,33.887451,-118.36221,,,74343
-118.31889,33.789577,858382,99 Cents Only Stores 311,2159 Pacific Coast Hwy,2167,Lomita,CA,90717,2502,LOS ANGELES,Other,33.789577,-118.31889,,,74344
-118.59831,34.443459,858952,Walgreens 10767,23925 Newhall Ranch Rd,,Santa Clarita,CA,91355,5701,LOS ANGELES,Other,34.443459,-118.59831,,,74452
-118.40659,33.749523,946035,Trader Joe's 233,31176 Hawthorne Blvd,,Rancho Palos Verdes,CA,90275,5354,LOS ANGELES,Supermarket,33.749523,-118.40659,,,74517
-118.00935,34.140224,946935,Walgreens 11473,490 W Huntington Dr,,Monrovia,CA,91016,3202,LOS ANGELES,Other,34.140224,-118.00935,,,74574
-118.29333,34.04007,947118,La Campanita,1653 W Washington Blvd,,Los Angeles,CA,90007,1117,LOS ANGELES,Grocery Store,34.04007,-118.29333,,,74791
-117.96613,34.085064,882806,Walgreens 07654,14102 Ramona Blvd,,Baldwin Park,CA,91706,    ,LOS ANGELES,Other,34.085064,-117.96613,,,74986
-118.22514,33.985352,882807,Walgreens 11785,6100 Pacific Blvd,,Huntington Park,CA,90255,2923,LOS ANGELES,Other,33.985352,-118.22514,,,74988
-117.9975,33.944801,902614,Target Store T-2019,15614 Whittwood Ln,,Whittier,CA,90603,2324,LOS ANGELES,Super Store,33.944801,-117.9975,,,75047
-118.50256,34.23428,902616,Target Store T-2020,8999 Balboa Blvd,,Northridge,CA,91325,2698,LOS ANGELES,Super Store,34.23428,-118.50256,,,75048
-118.26315,33.843616,902619,Target Store T-2026,20700 S Avalon Blvd,Ste 750,Carson,CA,90746,    ,LOS ANGELES,Super Store,33.843616,-118.26315,,,75050
-118.16413,33.971359,902802,Dollar Tree 3977,6810 Eastern Ave,Ste F,Bell Gardens,CA,90201,3928,LOS ANGELES,Other,33.971359,-118.16413,,,75242
-118.1874,33.98048,902810,Dollar Tree 4023,6207 Atlantic Ave,,Bell,CA,90201,1225,LOS ANGELES,Other,33.98048,-118.1874,,,75246
-118.54242,34.422821,902825,Dollar Tree 4042,23152 Valencia Blvd,,Valencia,CA,91355,1716,LOS ANGELES,Other,34.422821,-118.54242,,,75253
