,tract,census tract,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length,Total Woman 15-50,Women with births 12 Months,Total Population,Birth Rate,Fertility Rate,Low Birth Weight,Low Birth Weight Pctl,Average income,Grocery Store Access,Grocery Store Access Percent
0,6037204600,06037204600,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2380,6201551.645,12222.88796,984,43,3740,0.0114973262,0.04369918699,5.22,58.02,33587,0,0
0,6037204700,06037204700,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2381,10907423.23,13331.46153,1216,30,4632,0.006476683938,0.02467105263,5.81,71.26,59735,0,0
0,6037204810,06037204810,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2382,8327932.845,11953.62,1248,30,5166,0.005807200929,0.02403846154,6.67,86.03,46964,0,0
0,6037204820,06037204820,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2383,3446622.072,8345.427607,618,15,2055,0.007299270073,0.02427184466,4.91,49.91,49375,0,0
0,6037204910,06037204910,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2384,5538623.95,9616.40759,695,56,3184,0.0175879397,0.08057553957,3.98,26.07,40313,0,0
0,6037204920,06037204920,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2385,9771951.948,12570.57535,602,51,2537,0.02010248325,0.08471760797,7.11,90.89,59345,0,0
0,6037205110,06037205110,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2386,2956008.295,9068.867215,911,23,3850,0.005974025974,0.02524698134,5.68,68.54,47194,0,0
0,6037205120,06037205120,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2387,15952710.96,19218.25358,999,68,3858,0.0176257128,0.06806806807,5.88,72.85,29804,0,0
0,6037206010,06037206010,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2388,15714297.73,20599.43119,1204,106,3335,0.03178410795,0.08803986711,8.02,96.51,41395,0,0
0,6037206020,06037206020,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2389,9395603.394,11938.55636,195,0,5577,0,0,,,105972,0,0
0,6037206050,06037206050,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2390,19183090.33,25485.7002,612,43,2312,0.01859861592,0.07026143791,10.32,99.7,35795,0,0
0,6037206051,06037206051,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2477,40408764.94,29476.26196,533,0,2591,0,0,0,0,119453,6,0.002574003
0,6037206052,06037206052,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2478,9776925.704,13446.59477,1318,39,3296,0.01183252427,0.02959028832,0,0,99241,2,0.003460208
0,6037206053,06037206053,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2479,6331758.787,10803.13034,746,16,3261,0.004906470408,0.02144772118,0,0,28693,0,0
0,6037206054,06037206054,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2480,4502153.559,9300.340514,761,22,2670,0.008239700375,0.02890932983,0,0,39647,0,0
0,6037206201,06037206201,District 1,Los Angeles - Little Tokyo,SPA 4 - Metro,2481,2156821.986,6937.901771,512,0,2647,0,0,0,0,38786,0,0
0,6037206202,06037206202,District 1,Los Angeles - Little Tokyo,SPA 4 - Metro,2482,4114009.19,9646.074276,358,11,3035,0.003624382208,0.03072625698,0,0,12344,0,0
