Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008
"06037703100","Census Tract 7031, Los Angeles County, California","ca","140","00",,,,"06","037",,,"703100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7031",,,,3049,2070,2057,13,16,21,0,16,228,698
"06037703200","Census Tract 7032, Los Angeles County, California","ca","140","00",,,,"06","037",,,"703200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7032",,,,2112,1525,1525,0,81,0,18,0,0,488
"06037800101","Census Tract 8001.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"800101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 8001.01",,,,2649,1839,1756,83,28,0,10,58,0,714
"06037800103","Census Tract 8001.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"800103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 8001.03",,,,1796,1294,1235,59,0,7,19,48,0,428
"06037800104","Census Tract 8001.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"800104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 8001.04",,,,1590,802,722,80,0,18,0,19,88,663
"06037800202","Census Tract 8002.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"800202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 8002.02",,,,2740,2257,2194,63,5,11,0,40,55,372
"06037800204","Census Tract 8002.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"800204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 8002.04",,,,1419,941,886,55,31,0,0,2,71,374
"06037800205","Census Tract 8002.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"800205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 8002.05",,,,2224,1703,1518,185,0,0,48,20,20,433
"06037800206","Census Tract 8002.06, Los Angeles County, California","ca","140","00",,,,"06","037",,,"800206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 8002.06",,,,1373,933,803,130,2,0,0,11,9,418
"06037800324","Census Tract 8003.24, Los Angeles County, California","ca","140","00",,,,"06","037",,,"800324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 8003.24",,,,2662,1816,1709,107,7,0,36,0,0,803
"06037800325","Census Tract 8003.25, Los Angeles County, California","ca","140","00",,,,"06","037",,,"800325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 8003.25",,,,1628,1355,1272,83,0,0,0,21,0,252
"06037800328","Census Tract 8003.28, Los Angeles County, California","ca","140","00",,,,"06","037",,,"800328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 8003.28",,,,606,452,421,31,0,0,0,0,8,146
"06037800333","Census Tract 8003.33, Los Angeles County, California","ca","140","00",,,,"06","037",,,"800333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 8003.33",,,,1072,793,670,123,0,0,0,13,25,241
"06037800334","Census Tract 8003.34, Los Angeles County, California","ca","140","00",,,,"06","037",,,"800334",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 8003.34",,,,1865,1451,1360,91,0,0,0,9,0,405
"06037800335","Census Tract 8003.35, Los Angeles County, California","ca","140","00",,,,"06","037",,,"800335",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 8003.35",,,,1890,1351,1325,26,0,0,0,106,40,393
"06037800336","Census Tract 8003.36, Los Angeles County, California","ca","140","00",,,,"06","037",,,"800336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 8003.36",,,,1831,1329,1246,83,0,0,0,0,0,502
"06037800337","Census Tract 8003.37, Los Angeles County, California","ca","140","00",,,,"06","037",,,"800337",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 8003.37",,,,1911,1435,1368,67,0,0,0,0,31,445
"06037800338","Census Tract 8003.38, Los Angeles County, California","ca","140","00",,,,"06","037",,,"800338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 8003.38",,,,3334,2046,2022,24,0,0,0,25,60,1203
"06037800406","Census Tract 8004.06, Los Angeles County, California","ca","140","00",,,,"06","037",,,"800406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 8004.06",,,,816,541,521,20,0,0,7,48,4,216
"06037800410","Census Tract 8004.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"800410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 8004.10",,,,1376,562,508,54,21,0,8,509,54,222
"06037800411","Census Tract 8004.11, Los Angeles County, California","ca","140","00",,,,"06","037",,,"800411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 8004.11",,,,1431,862,738,124,12,0,7,69,0,481
"06037800412","Census Tract 8004.12, Los Angeles County, California","ca","140","00",,,,"06","037",,,"800412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 8004.12",,,,1355,917,894,23,17,0,0,13,0,408
"06037800504","Census Tract 8005.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"800504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 8005.04",,,,835,417,410,7,10,0,0,0,13,395
"06037800506","Census Tract 8005.06, Los Angeles County, California","ca","140","00",,,,"06","037",,,"800506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 8005.06",,,,1538,1025,921,104,1,0,0,20,111,381
"06037900102","Census Tract 9001.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9001.02",,,,248,199,186,13,0,0,0,31,0,18
"06037900103","Census Tract 9001.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9001.03",,,,1849,1678,1374,304,23,0,0,2,0,146
